fold,bin_idx,bin_left,bin_right,mean_norm_price
9,29,1.4500000000000002,1.5,0.035902504912654336
10,0,0.0,0.05,0.6801444196039758
10,1,0.05,0.1,0.851942901903349
10,2,0.1,0.15000000000000002,0.8083722744067124
10,3,0.15000000000000002,0.2,0.7666384495224591
10,4,0.2,0.25,0.7023370585789519
10,5,0.25,0.30000000000000004,0.587371982172043
10,6,0.30000000000000004,0.35000000000000003,0.5441727224214372
10,7,0.35000000000000003,0.4,0.47146972229917616
10,8,0.4,0.45,0.398174534317342
10,9,0.45,0.5,0.37940520127297095
10,10,0.5,0.55,0.27233315007032105
10,11,0.55,0.6000000000000001,0.2550030794599084
10,12,0.6000000000000001,0.65,0.2357045885429428
10,13,0.65,0.7000000000000001,0.20482257586114486
10,14,0.7000000000000001,0.75,0.22714415813448688
10,15,0.75,0.8,0.1794841962975446
10,16,0.8,0.8500000000000001,0.18673832903598256
10,17,0.8500000000000001,0.9,0.19323732790508766
10,18,0.9,0.9500000000000001,0.3116706067317603
10,19,0.9500000000000001,1.0,0.34425983098964863
10,20,1.0,1.05,0.3809819171250443
10,21,1.05,1.1,0.42205269788673155
10,22,1.1,1.1500000000000001,0.31629063606123853
10,23,1.1500000000000001,1.2000000000000002,0.2133039212763702
10,24,1.2000000000000002,1.25,0.16460742060636374
10,25,1.25,1.3,0.25106814039933906
10,26,1.3,1.35,0.4422534646582537
10,27,1.35,1.4000000000000001,0.40327420425210403
10,28,1.4000000000000001,1.4500000000000002,0.04386242540858432
10,29,1.4500000000000002,1.5,0.05080427233807865
11,0,0.0,0.05,0.6822749100333033
11,1,0.05,0.1,0.8591882658745696
11,2,0.1,0.15000000000000002,0.811003326315572
11,3,0.15000000000000002,0.2,0.7673008785557912
11,4,0.2,0.25,0.7022290260860901
11,5,0.25,0.30000000000000004,0.5881098242085332
11,6,0.30000000000000004,0.35000000000000003,0.5443824553060449
11,7,0.35000000000000003,0.4,0.4723042062397911
11,8,0.4,0.45,0.3963642817629345
11,9,0.45,0.5,0.37726021873525845
11,10,0.5,0.55,0.271681653215762
11,11,0.55,0.6000000000000001,0.2557279179467212
11,12,0.6000000000000001,0.65,0.2331089443757059
11,13,0.65,0.7000000000000001,0.2089768781799127
11,14,0.7000000000000001,0.75,0.22068060823546756
11,15,0.75,0.8,0.17711532693748133
11,16,0.8,0.8500000000000001,0.180916077328445
11,17,0.8500000000000001,0.9,0.21459483169628107
11,18,0.9,0.9500000000000001,0.30555468012916476
11,19,0.9500000000000001,1.0,0.3490284307575467
11,20,1.0,1.05,0.3809819171250443
11,21,1.05,1.1,0.42205269788673155
11,22,1.1,1.1500000000000001,0.31720408701295055
11,23,1.1500000000000001,1.2000000000000002,0.2835227588032874
11,24,1.2000000000000002,1.25,0.21227251416488183
11,25,1.25,1.3,0.25106814039933906
11,26,1.3,1.35,0.4667218795902826
11,27,1.35,1.4000000000000001,0.41793543558024115
11,28,1.4000000000000001,1.4500000000000002,0.04386242540858432
11,29,1.4500000000000002,1.5,0.05080427233807865
12,0,0.0,0.05,0.6733446745570811
12,1,0.05,0.1,0.861159516972206
12,2,0.1,0.15000000000000002,0.8119117711962187
12,3,0.15000000000000002,0.2,0.7676292455812063
12,4,0.2,0.25,0.702657840316807
12,5,0.25,0.30000000000000004,0.5890686177886548
12,6,0.30000000000000004,0.35000000000000003,0.5448044962995374
12,7,0.35000000000000003,0.4,0.47419128384598025
12,8,0.4,0.45,0.3984593370661891
12,9,0.45,0.5,0.37716343183058565
12,10,0.5,0.55,0.273495712775142
12,11,0.55,0.6000000000000001,0.2560137832376281
12,12,0.6000000000000001,0.65,0.2299988155854957
12,13,0.65,0.7000000000000001,0.20890059765768054
12,14,0.7000000000000001,0.75,0.21466148953931585
12,15,0.75,0.8,0.1769197589564424
12,16,0.8,0.8500000000000001,0.17942024073694238
12,17,0.8500000000000001,0.9,0.2101725661281254
12,18,0.9,0.9500000000000001,0.3017547694454236
12,19,0.9500000000000001,1.0,0.3352311765709162
12,20,1.0,1.05,0.36280579430297344
12,21,1.05,1.1,0.40047946109291993
12,22,1.1,1.1500000000000001,0.3065848325314663
12,23,1.1500000000000001,1.2000000000000002,0.25744556415400666
12,24,1.2000000000000002,1.25,0.17663885813479693
12,25,1.25,1.3,0.2340627921141249
12,26,1.3,1.35,0.4234271441459972
12,27,1.35,1.4000000000000001,0.3973570490947075
12,28,1.4000000000000001,1.4500000000000002,0.041142180081392934
12,29,1.4500000000000002,1.5,0.06322140144287917
13,0,0.0,0.05,0.6621718513535539
13,1,0.05,0.1,0.847888294893308
13,2,0.1,0.15000000000000002,0.7992775946333158
13,3,0.15000000000000002,0.2,0.7588184138806635
13,4,0.2,0.25,0.6842098211412737
13,5,0.25,0.30000000000000004,0.5728676365923124
13,6,0.30000000000000004,0.35000000000000003,0.5364392023207458
13,7,0.35000000000000003,0.4,0.45831800937421296
13,8,0.4,0.45,0.3816151543730965
13,9,0.45,0.5,0.3545803642303948
13,10,0.5,0.55,0.26520773671529524
13,11,0.55,0.6000000000000001,0.23519330726435592
13,12,0.6000000000000001,0.65,0.20897740294554765
13,13,0.65,0.7000000000000001,0.1972933070460877
13,14,0.7000000000000001,0.75,0.1879923577565038
13,15,0.75,0.8,0.1682286507341178
13,16,0.8,0.8500000000000001,0.17432437568480277
13,17,0.8500000000000001,0.9,0.2101725661281254
13,18,0.9,0.9500000000000001,0.2955266565097381
13,19,0.9500000000000001,1.0,0.33526796362780775
13,20,1.0,1.05,0.36424510338863875
13,21,1.05,1.1,0.398730911482644
13,22,1.1,1.1500000000000001,0.3187698650208835
13,23,1.1500000000000001,1.2000000000000002,0.2674785031697722
13,24,1.2000000000000002,1.25,0.17663885813479693
13,25,1.25,1.3,0.2340627921141249
13,26,1.3,1.35,0.4234271441459972
13,27,1.35,1.4000000000000001,0.3973570490947075
