station_code,name,address,suburb,postcode,brand,fuel_code,price,date
2042,South West Fuel - Grenfell,"1 MAIN ST, GRENFELL NSW 2810",Grenfell,2810,South West,DL,249.9,2026-05-06
2042,South West Fuel - Grenfell,"1 MAIN ST, GRENFELL NSW 2810",Grenfell,2810,South West,P98,212.9,2026-05-06
2042,South West Fuel - Grenfell,"1 MAIN ST, GRENFELL NSW 2810",Grenfell,2810,South West,U91,202.9,2026-05-06
2043,Independent Bellingen,"995 Waterfall Way, Bellingen NSW 2454",Bellingen,2454,Independent,DL,249.9,2026-05-06
2043,Independent Bellingen,"995 Waterfall Way, Bellingen NSW 2454",Bellingen,2454,Independent,LPG,149.0,2026-05-06
2043,Independent Bellingen,"995 Waterfall Way, Bellingen NSW 2454",Bellingen,2454,Independent,P95,206.9,2026-05-06
2043,Independent Bellingen,"995 Waterfall Way, Bellingen NSW 2454",Bellingen,2454,Independent,U91,189.9,2026-05-06
2044,Mobil Bellingen,"24-26 Hyde Street, Bellingen NSW 2454",Bellingen,2454,Mobil,P98,216.9,2026-05-06
2044,Mobil Bellingen,"24-26 Hyde Street, Bellingen NSW 2454",Bellingen,2454,Mobil,PDL,249.9,2026-05-06
2044,Mobil Bellingen,"24-26 Hyde Street, Bellingen NSW 2454",Bellingen,2454,Mobil,U91,192.9,2026-05-06
2047,Ampol Foodary Gregory Hills,"1 Gregory Hills Drive, GREGORY HILLS NSW 2557",Gregory Hills,2557,Ampol Foodary,E10,172.9,2026-05-06
2047,Ampol Foodary Gregory Hills,"1 Gregory Hills Drive, GREGORY HILLS NSW 2557",Gregory Hills,2557,Ampol Foodary,P95,191.9,2026-05-06
2047,Ampol Foodary Gregory Hills,"1 Gregory Hills Drive, GREGORY HILLS NSW 2557",Gregory Hills,2557,Ampol Foodary,P98,201.9,2026-05-06
2047,Ampol Foodary Gregory Hills,"1 Gregory Hills Drive, GREGORY HILLS NSW 2557",Gregory Hills,2557,Ampol Foodary,PDL,239.9,2026-05-06
2047,Ampol Foodary Gregory Hills,"1 Gregory Hills Drive, GREGORY HILLS NSW 2557",Gregory Hills,2557,Ampol Foodary,U91,174.9,2026-05-06
2051,United Petroleum Wilberforce,"539 Wilberforce Rd, WILBERFORCE NSW 2756",Wilberforce,2756,United,DL,249.9,2026-05-06
