station_code,name,address,suburb,postcode,brand,price,date
20641,ASTRON Bathurst,"35 WILLIAM ST, BATHURST NSW 2795",BATHURST,2795,ASTRON,166.5,2026-04-26
20643,OTR Greenacre West,"74 ROBERTS RD, GREENACRE NSW 2190",GREENACRE,2190,Shell,181.9,2026-04-26
20649,SHELL NORTH ROCKS,"264 NORTH ROCKS RD, NORTH ROCKS NSW 2151",NORTH ROCKS,2151,Shell,177.5,2026-04-26
20650,Ampol Narwee,"41 BROADARROW RD, NARWEE NSW 2209",NARWEE,2209,Ampol,181.7,2026-04-26
20652,OTR Hurstville,"396 FOREST RD, HURSTVILLE NSW 2220",HURSTVILLE,2220,Shell,176.9,2026-04-26
20653,OTR Kariong,"6-8 CENTRAL COAST HWY, KARIONG NSW 2250",KARIONG,2250,Shell,176.9,2026-04-26
20654,7-Eleven Googong,"200 WELLSVALE DR, GOOGONG NSW 2620",GOOGONG,2620,7-Eleven,187.9,2026-04-26
20655,Enhance Port Kembla,"1-3 CHURCH ST, PORT KEMBLA NSW 2505",PORT KEMBLA,2505,Enhance,181.5,2026-04-26
20656,7-Eleven Rouse Hill,"294 ANNANGROVE RD, ROUSE HILL NSW 2155",ROUSE HILL,2155,7-Eleven,176.5,2026-04-26
20657,OTR Goulburn,"1 FRANKLIN ST, GOULBURN NSW 2580",GOULBURN,2580,Shell,176.9,2026-04-26
20811,Pearl Energy Hexham,"354 MAITLAND RD, HEXHAM NSW 2322",HEXHAM,2322,Pearl Energy,174.5,2026-04-26
20813,WESTSIDE PETROLEUM BUNDANOON,"61 RAILWAY AV, BUNDANOON NSW 2578",BUNDANOON,2578,Westside,179.9,2026-04-26
20814,Metro Petroleum Warilla,"230 SHELLHARBOUR RD, WARILLA NSW 2528",WARILLA,2528,Metro Fuel,182.9,2026-04-26
20819,Metro Petroleum Addison Rd,"93-99 ADDISON RD, MARRICKVILLE NSW 2204",MARRICKVILLE,2204,Metro Fuel,177.9,2026-04-26
20820,Astron Rydalmere,262 - 272 VICTORIA RD Rydalmere NSW 2116,,2116,ASTRON,174.5,2026-04-26
20823,Metro Petroleum Revesby West,"10 MILPERRA RD, REVESBY NSW 2212",REVESBY,2212,Metro Fuel,177.9,2026-04-26
20825,Caltex Moree,"3 BLUEBERRY RD, MOREE NSW 2400",MOREE,2400,Caltex,183.9,2026-04-26
20830,Pearl Energy Tomago,"793 TOMAGO RD, TOMAGO NSW 2322",TOMAGO,2322,Pearl Energy,174.5,2026-04-26
20831,ASTRON YAGOONA WEST,"100 ROOKWOOD RD, YAGOONA NSW 2199",YAGOONA,2199,ASTRON,174.9,2026-04-26
20832,OTR Woolloomooloo,"61 COWPER WHARF ROADWAY, WOOLLOOMOOLOO NSW 2011",WOOLLOOMOOLOO,2011,Shell,176.9,2026-04-26
20833,Metro Petroleum Ingleburn,"21-23 CUMBERLAND RD, INGLEBURN NSW 2565",INGLEBURN,2565,Metro Fuel,179.5,2026-04-26
20836,SHELL UNANDERRA,"40 PRINCES HWY, UNANDERRA NSW 2526",UNANDERRA,2526,Shell,185.7,2026-04-26
20838,Caltex Marulan,"84-90 GEORGE ST, MARULAN NSW 2579",MARULAN,2579,Caltex,205.9,2026-04-26
20840,Astron Marrangaroo,"394 GREAT WESTERN HWY, MARRANGAROO NSW 2790",MARRANGAROO,2790,ASTRON,185.9,2026-04-26
20841,Metro Milperra West,"106 MILPERRA RD, REVESBY NSW 2212",REVESBY,2212,Metro Fuel,177.9,2026-04-26
20845,OTR Warrawong Northbound,"26-30 KING ST, WARRAWONG NSW 2502",WARRAWONG,2502,Shell,181.9,2026-04-26
20846,Astron Grafton Fourways,"105 BENT ST, SOUTH GRAFTON NSW 2460",SOUTH GRAFTON,2460,ASTRON,184.9,2026-04-26
20847,Metro Lansdowne,"987 HUME HWY, LANSDOWNE NSW 2163",LANSDOWNE,2163,Metro Fuel,174.9,2026-04-26
20848,Metro Toongabbie,"5 PICASSO CR, OLD TOONGABBIE NSW 2146",OLD TOONGABBIE,2146,Metro Fuel,179.9,2026-04-26
20855,Liberty Oil Griffith,"6-10 MACKAY AV, GRIFFITH NSW 2680",GRIFFITH,2680,Liberty,175.9,2026-04-26
